,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin
19.8.2023_Augsburg_B. Monchengladbach_4_4,19.8.2023,Augsburg,B. Monchengladbach,4,4,2.75,3.7,2.45,,,,2.75,3.7,2.45,,,,,,
19.8.2023_Bayer Leverkusen_RB Leipzig_3_2,19.8.2023,Bayer Leverkusen,RB Leipzig,3,2,2.55,3.65,2.65,,,,2.55,3.65,2.65,,,,,,
19.8.2023_Hoffenheim_Freiburg_1_2,19.8.2023,Hoffenheim,Freiburg,1,2,2.3,3.65,3.05,,,,2.3,3.65,3.05,,,,,,
19.8.2023_Stuttgart_Bochum_5_0,19.8.2023,Stuttgart,Bochum,5,0,1.8,4.1,4.2,,,,1.8,4.1,4.2,,,,,,
19.8.2023_Wolfsburg_Heidenheim_2_0,19.8.2023,Wolfsburg,Heidenheim,2,0,1.65,4.3,4.9,,,,1.65,4.3,4.9,,,,,,
18.8.2023_Werder Bremen_Bayern Munich_0_4,18.8.2023,Werder Bremen,Bayern Munich,0,4,8.6,6.4,1.32,,,,8.6,6.4,1.32,,,,,,
12.4.2024_Augsburg_Union Berlin_2_0,12.4.2024,Augsburg,Union Berlin,2,0,2.12,3.37,3.52,,,,2.11,3.4,3.5,2.12,3.35,3.55,,,
7.4.2024_Wolfsburg_B. Monchengladbach_1_3,7.4.2024,Wolfsburg,B. Monchengladbach,1,3,1.95,3.7,3.7,,,,1.96,3.8,3.6,1.95,3.7,3.7,,,
7.4.2024_Hoffenheim_Augsburg_3_1,7.4.2024,Hoffenheim,Augsburg,3,1,2.25,3.85,2.84,,,,2.27,3.8,2.8,2.27,3.9,2.85,,,
6.4.2024_Dortmund_Stuttgart_0_1,6.4.2024,Dortmund,Stuttgart,0,1,1.95,4.08,3.38,,,,1.95,4.15,3.4,1.95,4.05,3.45,,,
6.4.2024_FC Koln_Bochum_2_1,6.4.2024,FC Koln,Bochum,2,1,2.26,3.47,3.1,,,,2.26,3.5,3.1,2.3,3.5,3.05,,,
6.4.2024_Freiburg_RB Leipzig_1_4,6.4.2024,Freiburg,RB Leipzig,1,4,5.23,4.45,1.57,,,,5.0,4.5,1.57,5.6,4.45,1.55,,,
6.4.2024_Heidenheim_Bayern Munich_3_2,6.4.2024,Heidenheim,Bayern Munich,3,2,7.07,5.42,1.37,,,,7.0,5.5,1.37,6.9,5.4,1.39,,,
6.4.2024_Mainz_Darmstadt_4_0,6.4.2024,Mainz,Darmstadt,4,0,1.42,4.68,7.23,,,,1.42,4.75,7.0,1.44,4.7,7.1,,,
6.4.2024_Union Berlin_Bayer Leverkusen_0_1,6.4.2024,Union Berlin,Bayer Leverkusen,0,1,5.28,3.82,1.64,,,,5.0,3.8,1.65,5.3,3.85,1.65,,,
5.4.2024_Eintracht Frankfurt_Werder Bremen_1_1,5.4.2024,Eintracht Frankfurt,Werder Bremen,1,1,1.8,3.82,4.23,,,,1.8,3.8,4.33,1.83,3.8,4.2,,,
31.3.2024_Bochum_Darmstadt_2_2,31.3.2024,Bochum,Darmstadt,2,2,1.49,4.58,6.03,,,,1.48,4.5,6.0,1.52,4.65,5.7,,,
31.3.2024_Stuttgart_Heidenheim_3_3,31.3.2024,Stuttgart,Heidenheim,3,3,1.3,5.82,9.33,,,,1.31,6.0,9.0,1.32,5.6,9.0,,,
31.3.2024_Augsburg_FC Koln_1_1,31.3.2024,Augsburg,FC Koln,1,1,1.68,3.97,4.77,,,,1.67,4.0,4.75,1.7,3.9,4.9,,,
30.3.2024_Bayern Munich_Dortmund_0_2,30.3.2024,Bayern Munich,Dortmund,0,2,1.36,5.83,7.23,,,,1.36,6.0,7.0,1.37,5.6,7.1,,,
30.3.2024_B. Monchengladbach_Freiburg_0_3,30.3.2024,B. Monchengladbach,Freiburg,0,3,2.1,3.58,3.37,,,,2.12,3.6,3.3,2.1,3.6,3.4,,,
30.3.2024_Bayer Leverkusen_Hoffenheim_2_1,30.3.2024,Bayer Leverkusen,Hoffenheim,2,1,1.21,7.03,11.58,,,,1.2,7.5,11.0,1.22,6.7,11.75,,,
30.3.2024_Eintracht Frankfurt_Union Berlin_0_0,30.3.2024,Eintracht Frankfurt,Union Berlin,0,0,1.94,3.43,4.02,,,,1.94,3.4,4.0,1.95,3.4,4.1,,,
30.3.2024_RB Leipzig_Mainz_0_0,30.3.2024,RB Leipzig,Mainz,0,0,1.36,5.42,7.57,,,,1.36,5.5,7.5,1.37,5.4,7.4,,,
30.3.2024_Werder Bremen_Wolfsburg_0_2,30.3.2024,Werder Bremen,Wolfsburg,0,2,2.68,3.4,2.59,,,,2.68,3.4,2.63,2.67,3.45,2.57,,,
17.3.2024_Dortmund_Eintracht Frankfurt_3_1,17.3.2024,Dortmund,Eintracht Frankfurt,3,1,1.65,4.31,4.53,,,,1.65,4.33,4.5,1.65,4.3,4.65,,,
17.3.2024_Freiburg_Bayer Leverkusen_2_3,17.3.2024,Freiburg,Bayer Leverkusen,2,3,6.1,4.4,1.5,,,,6.0,4.5,1.48,6.1,4.3,1.53,,,
16.3.2024_Hoffenheim_Stuttgart_0_3,16.3.2024,Hoffenheim,Stuttgart,0,3,4.17,4.28,1.73,,,,4.15,4.33,1.73,4.2,4.3,1.72,,,
16.3.2024_Darmstadt_Bayern Munich_2_5,16.3.2024,Darmstadt,Bayern Munich,2,5,15.17,8.33,1.15,,,,15.0,9.0,1.13,15.5,8.0,1.16,,,
16.3.2024_Heidenheim_B. Monchengladbach_1_1,16.3.2024,Heidenheim,B. Monchengladbach,1,1,2.61,3.55,2.58,,,,2.6,3.6,2.6,2.62,3.55,2.57,,,
16.3.2024_Mainz_Bochum_2_0,16.3.2024,Mainz,Bochum,2,0,1.8,3.83,4.2,,,,1.8,3.8,4.2,1.8,3.8,4.3,,,
16.3.2024_Union Berlin_Werder Bremen_2_1,16.3.2024,Union Berlin,Werder Bremen,2,1,2.08,3.33,3.68,,,,2.08,3.4,3.6,2.07,3.3,3.8,,,
16.3.2024_Wolfsburg_Augsburg_1_3,16.3.2024,Wolfsburg,Augsburg,1,3,2.27,3.57,3.03,,,,2.27,3.6,3.05,2.27,3.6,3.0,,,
15.3.2024_FC Koln_RB Leipzig_1_5,15.3.2024,FC Koln,RB Leipzig,1,5,6.57,4.6,1.47,,,,6.5,4.75,1.45,6.5,4.45,1.5,,,
10.3.2024_Bayer Leverkusen_Wolfsburg_2_0,10.3.2024,Bayer Leverkusen,Wolfsburg,2,0,1.32,5.32,9.77,,,,1.31,5.5,10.0,1.32,5.2,10.0,,,
10.3.2024_Eintracht Frankfurt_Hoffenheim_3_1,10.3.2024,Eintracht Frankfurt,Hoffenheim,3,1,2.03,3.67,3.47,,,,2.03,3.7,3.4,2.05,3.7,3.45,,,
10.3.2024_Bochum_Freiburg_1_2,10.3.2024,Bochum,Freiburg,1,2,2.44,3.33,2.87,,,,2.45,3.3,2.8,2.42,3.4,2.92,,,
9.3.2024_Werder Bremen_Dortmund_1_2,9.3.2024,Werder Bremen,Dortmund,1,2,3.67,4.1,1.86,,,,3.7,4.0,1.88,3.6,4.25,1.87,,,
9.3.2024_Augsburg_Heidenheim_1_0,9.3.2024,Augsburg,Heidenheim,1,0,1.74,4.03,4.45,,,,1.91,3.8,3.8,1.65,4.2,4.75,,,
9.3.2024_B. Monchengladbach_FC Koln_3_3,9.3.2024,B. Monchengladbach,FC Koln,3,3,1.82,3.72,4.32,,,,1.82,3.8,4.25,1.82,3.75,4.35,,,
9.3.2024_Bayern Munich_Mainz_8_1,9.3.2024,Bayern Munich,Mainz,8,1,1.24,6.3,11.5,,,,1.25,6.5,10.0,1.25,6.0,11.5,,,
9.3.2024_RB Leipzig_Darmstadt_2_0,9.3.2024,RB Leipzig,Darmstadt,2,0,1.13,8.65,18.5,,,,1.14,8.5,15.0,1.14,8.25,19.5,,,
8.3.2024_Stuttgart_Union Berlin_2_0,8.3.2024,Stuttgart,Union Berlin,2,0,1.5,4.31,6.57,,,,1.5,4.33,6.5,1.52,4.25,6.5,,,
3.3.2024_Hoffenheim_Werder Bremen_2_1,3.3.2024,Hoffenheim,Werder Bremen,2,1,1.95,4.03,3.48,,,,1.95,4.0,3.5,1.95,4.05,3.45,,,
