,Spieltag,Datum,Sieger,Team_A,Team_B,Tore_A,Tore_B,Schüsse_A,Schüsse_B,Torschüsse_A,Torschüsse_B,Ballbesitz_A,Ballbesitz_B,Pässe_A,Pässe_B,Passgenauigkeit_A,Passgenauigkeit_B,Fouls_A,Fouls_B,Gelbe_A,Gelbe_B,Rote_A,Rote_B,Abseits_A,Abseits_B,Ecken_A,Ecken_B
86,12,30.11.,U,Werder Bremen,VfB Stuttgart,2,2,20,10,6,4,42,58,396,557,80,85,8,13,1,1,0,0,0,1,11,2
87,12,30.11.,B,RB Leipzig,Wolfsburg,1,5,9,13,4,8,63,37,637,386,88,79,11,6,2,1,0,0,4,0,7,3
88,12,30.11.,A,Freiburg,Mönchengladbach,3,1,17,15,7,4,48,52,445,474,82,84,5,14,1,1,0,0,1,0,4,6
89,13,6.12.,A,VfB Stuttgart,Union Berlin,3,2,7,14,5,3,65,35,608,326,84,70,14,19,1,6,0,0,2,0,1,6
90,13,7.12.,A,Leverkusen,St. Pauli,2,1,6,12,2,4,63,37,663,385,88,80,8,10,1,3,0,0,3,2,7,4
91,13,7.12.,A,Bayern,Heidenheim,4,2,21,2,10,2,83,17,991,206,93,66,4,5,1,0,0,0,1,0,8,0
92,13,7.12.,B,Holstein,RB Leipzig,0,2,17,9,5,5,56,44,484,393,79,78,11,13,4,3,0,0,2,2,6,1
93,13,7.12.,U,Eintracht Frankfurt,Augsburg,2,2,16,8,4,3,68,32,571,276,84,71,17,9,2,2,0,0,1,4,4,0
94,13,7.12.,B,Bochum,Werder Bremen,0,1,12,9,2,1,52,48,446,439,77,76,12,10,1,1,0,0,1,0,9,5
95,13,7.12.,U,Mönchengladbach,Dortmund,1,1,9,16,3,3,39,61,344,529,79,87,16,11,1,2,1,0,3,1,7,4
96,13,8.12.,A,Wolfsburg,Mainz,4,3,10,12,5,5,43,57,395,507,78,80,10,15,3,4,0,0,0,1,3,5
97,13,8.12.,U,Hoffenheim,Freiburg,1,1,15,11,5,4,49,51,517,527,81,80,10,5,1,1,0,0,1,2,6,1
98,14,13.12.,A,Freiburg,Wolfsburg,3,2,18,20,9,5,53,47,479,420,79,78,11,3,4,1,0,0,2,2,5,6
99,14,14.12.,A,Mönchengladbach,Holstein,4,1,17,12,6,3,57,43,526,414,85,78,10,14,1,1,0,0,4,3,5,2
100,14,14.12.,B,Augsburg,Leverkusen,0,2,8,14,4,3,34,66,367,708,79,89,12,5,3,0,0,0,5,2,4,9
101,14,14.12.,U,Union Berlin,Bochum,1,1,22,13,4,3,70,30,540,234,83,61,11,9,2,2,0,1,1,0,7,6
102,14,14.12.,A,Mainz,Bayern,2,1,8,13,4,1,31,69,292,647,69,84,21,12,3,2,0,0,3,0,3,2
103,14,14.12.,B,St. Pauli,Werder Bremen,0,2,15,8,4,4,57,43,586,453,83,82,10,9,2,3,0,0,2,4,4,5
