Match_ID,Date,Matchday,Team_Home,Team_Away,Goals_Home,Goals_Away
30.11.2024_RB Leipzig_Wolfsburg_1_5,30.11.2024,Spieltag 12 von 34,RB Leipzig,Wolfsburg,1,5
30.11.2024_Freiburg_Mönchengladbach_3_1,30.11.2024,Spieltag 12 von 34,Freiburg,Mönchengladbach,3,1
30.11.2024_Dortmund_Bayern_1_1,30.11.2024,Spieltag 12 von 34,Dortmund,Bayern,1,1
1.12.2024_Mainz_Hoffenheim_2_0,1.12.2024,Spieltag 12 von 34,Mainz,Hoffenheim,2,0
1.12.2024_Heidenheim_Eintracht Frankfurt_0_4,1.12.2024,Spieltag 12 von 34,Heidenheim,Eintracht Frankfurt,0,4
6.12.2024_VfB Stuttgart_Union Berlin_3_2,6.12.2024,Spieltag 13 von 34,VfB Stuttgart,Union Berlin,3,2
7.12.2024_Leverkusen_St. Pauli_2_1,7.12.2024,Spieltag 13 von 34,Leverkusen,St. Pauli,2,1
7.12.2024_Bayern_Heidenheim_4_2,7.12.2024,Spieltag 13 von 34,Bayern,Heidenheim,4,2
7.12.2024_Holstein_RB Leipzig_0_2,7.12.2024,Spieltag 13 von 34,Holstein,RB Leipzig,0,2
7.12.2024_Eintracht Frankfurt_Augsburg_2_2,7.12.2024,Spieltag 13 von 34,Eintracht Frankfurt,Augsburg,2,2
7.12.2024_Bochum_Werder Bremen_0_1,7.12.2024,Spieltag 13 von 34,Bochum,Werder Bremen,0,1
7.12.2024_Mönchengladbach_Dortmund_1_1,7.12.2024,Spieltag 13 von 34,Mönchengladbach,Dortmund,1,1
8.12.2024_Wolfsburg_Mainz_4_3,8.12.2024,Spieltag 13 von 34,Wolfsburg,Mainz,4,3
8.12.2024_Hoffenheim_Freiburg_1_1,8.12.2024,Spieltag 13 von 34,Hoffenheim,Freiburg,1,1
13.12.2024_Freiburg_Wolfsburg_3_2,13.12.2024,Spieltag 14 von 34,Freiburg,Wolfsburg,3,2
14.12.2024_Mönchengladbach_Holstein_4_1,14.12.2024,Spieltag 14 von 34,Mönchengladbach,Holstein,4,1
14.12.2024_Augsburg_Leverkusen_0_2,14.12.2024,Spieltag 14 von 34,Augsburg,Leverkusen,0,2
14.12.2024_Union Berlin_Bochum_1_1,14.12.2024,Spieltag 14 von 34,Union Berlin,Bochum,1,1
14.12.2024_Mainz_Bayern_2_1,14.12.2024,Spieltag 14 von 34,Mainz,Bayern,2,1
14.12.2024_St. Pauli_Werder Bremen_0_2,14.12.2024,Spieltag 14 von 34,St. Pauli,Werder Bremen,0,2
15.12.2024_Heidenheim_VfB Stuttgart_1_3,15.12.2024,Spieltag 14 von 34,Heidenheim,VfB Stuttgart,1,3
15.12.2024_Dortmund_Hoffenheim_1_1,15.12.2024,Spieltag 14 von 34,Dortmund,Hoffenheim,1,1
15.12.2024_RB Leipzig_Eintracht Frankfurt_2_1,15.12.2024,Spieltag 14 von 34,RB Leipzig,Eintracht Frankfurt,2,1
20.12.2024_Bayern_RB Leipzig_5_1,20.12.2024,Spieltag 15 von 34,Bayern,RB Leipzig,5,1
21.12.2024_Eintracht Frankfurt_Mainz_1_3,21.12.2024,Spieltag 15 von 34,Eintracht Frankfurt,Mainz,1,3
21.12.2024_Holstein_Augsburg_5_1,21.12.2024,Spieltag 15 von 34,Holstein,Augsburg,5,1
21.12.2024_Werder Bremen_Union Berlin_4_1,21.12.2024,Spieltag 15 von 34,Werder Bremen,Union Berlin,4,1
21.12.2024_Hoffenheim_Mönchengladbach_1_2,21.12.2024,Spieltag 15 von 34,Hoffenheim,Mönchengladbach,1,2
21.12.2024_VfB Stuttgart_St. Pauli_0_1,21.12.2024,Spieltag 15 von 34,VfB Stuttgart,St. Pauli,0,1
21.12.2024_Leverkusen_Freiburg_5_1,21.12.2024,Spieltag 15 von 34,Leverkusen,Freiburg,5,1
22.12.2024_Bochum_Heidenheim_2_0,22.12.2024,Spieltag 15 von 34,Bochum,Heidenheim,2,0
22.12.2024_Wolfsburg_Dortmund_1_3,22.12.2024,Spieltag 15 von 34,Wolfsburg,Dortmund,1,3
