,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
10.11.2024_Stuttgart_Eintracht Frankfurt_2_3,10.11.2024,Stuttgart,Eintracht Frankfurt,2,3,1.78,3.88,4.34,1.69,3.9,4.5,1.8,4.0,4.4,1.78,3.8,4.5,1.82,4.1,3.75,False
10.11.2024_Augsburg_Hoffenheim_0_0,10.11.2024,Augsburg,Hoffenheim,0,0,2.13,3.34,3.51,2.05,3.4,3.4,2.2,3.25,3.7,2.15,3.3,3.55,2.15,3.75,3.0,False
9.11.2024_RB Leipzig_B. Monchengladbach_0_0,9.11.2024,RB Leipzig,B. Monchengladbach,0,0,1.63,4.24,4.85,1.58,4.33,5.0,1.65,4.1,4.9,1.65,4.3,4.75,1.52,4.75,5.25,False
9.11.2024_Werder Bremen_Holstein Kiel_2_1,9.11.2024,Werder Bremen,Holstein Kiel,2,1,1.58,4.27,5.21,1.54,4.33,5.0,1.58,4.3,5.25,1.6,4.25,5.3,1.61,4.4,4.8,False
9.11.2024_Bochum_Bayer Leverkusen_1_1,9.11.2024,Bochum,Bayer Leverkusen,1,1,10.19,6.4,1.24,9.5,6.25,1.22,11.0,6.75,1.23,9.25,6.3,1.27,9.25,6.25,1.28,False
9.11.2024_Mainz_Dortmund_3_1,9.11.2024,Mainz,Dortmund,3,1,3.75,3.68,1.96,3.9,3.6,1.92,3.6,3.5,2.1,3.8,3.7,1.93,3.3,3.75,2.05,False
9.11.2024_St. Pauli_Bayern Munich_0_1,9.11.2024,St. Pauli,Bayern Munich,0,1,13.63,6.81,1.2,13.0,7.0,1.17,12.0,6.75,1.23,13.0,6.4,1.23,11.0,6.5,1.24,False
8.11.2024_Union Berlin_Freiburg_0_0,8.11.2024,Union Berlin,Freiburg,0,0,2.41,3.11,3.13,2.37,3.1,3.1,2.4,3.2,3.1,2.45,3.1,3.15,2.5,3.2,2.9,False
3.11.2024_B. Monchengladbach_Werder Bremen_4_1,3.11.2024,B. Monchengladbach,Werder Bremen,4,1,2.23,3.69,3.0,2.3,3.75,2.9,2.2,3.7,3.1,2.22,3.65,3.05,2.25,3.7,2.95,False
22.9.2024_Stuttgart_Dortmund_5_1,22.9.2024,Stuttgart,Dortmund,5,1,2.3,3.79,2.86,,,,2.35,3.85,2.85,2.27,3.75,2.92,2.3,3.7,2.85,False
